source_narrator_id,narrator_code,narrator_name,profile_name,avatar_url,book_count,album_count,following_count,follower_count,profile_summary,source_url,source
817376575,LR_NARRATOR_000012,今声有幸,今声有幸,https://headpic.lrts.me/7iPezIs6CW1RslhcpVwEKGh5Obw3PY1E-announcer-1-22471515.png?imageMogr2/thumbnail/180x180&sign=353e6c571cf2bf39a759c9fee7a161dc&t=6a38a58f,2,,,1256,"今声有幸推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/817376575,lrts
741114628,LR_NARRATOR_000013,削傻龙,削傻龙,https://headpic.lrts.me/3zUVT5EBA6Pouoxgmih8vCjaSa6IJN2m-announcer-1-15993648.png?imageMogr2/thumbnail/180x180&sign=c076a2810193949a68aceebd0978d9ec&t=6a38a58f,47,,,9265,"削傻龙推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/741114628,lrts
796364199,LR_NARRATOR_000014,三声文化,三声文化,https://headpic.lrts.me/ViiH6qrVBEEYXxLMorCgRf8ddRK5Nu5t-announcer-1-20214477.png?imageMogr2/thumbnail/180x180&sign=cfe283a670045c7324f3e366c268b554&t=6a38a58f,30,,2,5767,"三声文化推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/796364199,lrts
794320043,LR_NARRATOR_000015,TME有声剧场,TME有声剧场,https://headpic.lrts.me/ZT2lMmVPu2ldr1Ng2dhhlkb1fj2xdASO-announcer-1-21106987.png?imageMogr2/thumbnail/180x180&sign=95bd362610bb6ca0a21393b65e051436&t=6a38a590,198,,,16588,"TME有声剧场推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/794320043,lrts
766582936,LR_NARRATOR_000016,任京浩,任京浩,https://headpic.lrts.me/tXbODMoSCSznsYLcWn0zKdLEWORJgbZk-announcer-1-12000757.png?imageMogr2/thumbnail/180x180&sign=1786f31961a6e9d3d2b3d0c16cc1822d&t=6a38a590,12,,,6131,"任京浩推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/766582936,lrts
770219562,LR_NARRATOR_000017,六点点,六点点,https://headpic.lrts.me/ymhv5ssX8zwAIvqxusDFzbFQ6SbdHUhV-announcer-1-12000758.png?imageMogr2/thumbnail/180x180&sign=4113cce505202aa73d8b8f2c244b1da5&t=6a38a590,5,,,1205,"六点点推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/770219562,lrts
735779043,LR_NARRATOR_000018,经致听书,经致听书,https://headpic.lrts.me/y4OWRJKKGKty4ZfhHmh47G0snjj9l5B7-announcer-1-14306684.png?imageMogr2/thumbnail/180x180&sign=905fcc076f452e719a32b50fceb753fd&t=6a38a590,59,,,1397,"经致听书推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/735779043,lrts
747605576,LR_NARRATOR_000019,沙老八,沙老八,https://headpic.lrts.me/yg50YzBgCxTAcb6sNAz9H0Pc7fzMUNJm-announcer-1-15810956.png?imageMogr2/thumbnail/180x180&sign=a45cd37a45a57d985b1fbb5c6423606c&t=6a38a590,10,,,6742,"沙老八推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/747605576,lrts
782925878,LR_NARRATOR_000020,萌鹿剧场,萌鹿剧场,https://headpic.lrts.me/hTuF6y84fygf9kBguKH0lM2HhrMOIyYZ-announcer-1-20408034.png?imageMogr2/thumbnail/180x180&sign=763bf4a155add0c666678a6d3df5c00e&t=6a38a591,52,,,5585,"萌鹿剧场推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/782925878,lrts
741178626,LR_NARRATOR_000021,演播人骨头,演播人骨头,https://headpic.lrts.me/t45vEcfzqlIQoWCEkscNT4cPhvCG7mQl-announcer-1-15400248.png?imageMogr2/thumbnail/180x180&sign=ee2fa9b7c167831b551aef375c912cb6&t=6a38a591,9,,,1778,"演播人骨头推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/741178626,lrts
